"公園名","Id","公園番号","公園種別","読み仮名","公園所在地","公園面積_m2","主な施設","主な遊具","閉鎖管理施設","トイレ","その他情報","備考1","備考2","経度","緯度","分類"
"上鷺西公園","101","104","街区公園","かみさぎにし","上鷺宮５－１７","194.16","","","","車いす用×、オストメイト×、男子大×、男子小×、女子×、共用１、ベビーシート×、ベビーチェア×","","","","139.625233738246","35.7313006885554","街区公園"
"西鷺公園","56","58","街区公園","にしさぎ","鷺　宮６－３１","429.48","","複合遊具","","車いす用×、オストメイト×、男子大×、男子小１、女子×、共用１、ベビーシート×、ベビーチェア×","","","","139.626228235323","35.7266488163976","街区公園"
"八成公園","26","27","街区公園","はちなり","上鷺宮５－１９","3868.32","雑木林","ブランコ、砂場、鉄棒、ｸﾗｲﾐﾝﾝｸﾞ遊具","","車いす用○、オストメイト○、男子大×、男子小×、女子×、共用×、ベビーシート○、ベビーチェア○","","※公園北側の高齢者農園は福祉推進課","","139.626381457772","35.7316498552522","街区公園"
"上鷺いこい公園","150","156","街区公園","かみさぎいこい","上鷺宮４－１２","511.82","","","","なし","","","","139.627210037703","35.7334755568622","街区公園"
"北中野公園","17","18","街区公園","きたなかの","上鷺宮５－８","2181.36","","ブランコ、砂場、複合遊具、鉄棒","","車いす用○、オストメイト○、男子大１、男子小１、女子１、共用×、ベビーシート○、ベビーチェア○","","","","139.627203564902","35.7286020383718","街区公園"
"三角広場","171","203","その他","さんかく","鷺　宮６－５","133.91","","","","なし","","","","139.628191182554","35.7236185373943","その他"
"上鷺公園","12","13","街区公園","かみさぎ","上鷺宮４－８","1020.74","","ブランコ、砂場、複合遊具","","車いす用○、オストメイト×、男子大×、男子小１、女子×、共用１、ベビーシート×、ベビーチェア×","","","","139.628489365685","35.7320991887984","街区公園"
"かみさぎ北公園","157","163","街区公園","かみさぎきた","上鷺宮４－６","133.65","","","","なし","","","","139.629132462659","35.7332134683872","街区公園"
"風の子ひろば","142","148","街区公園","かぜのこひろば","上鷺宮４－１３，１４","2904.48","","複合遊具","","車いす用○、オストメイト×、男子大×、男子小１、女子×、共用１、ベビーシート×、ベビーチェア×","","","","139.628773489862","35.7341203616026","街区公園"
"鷺六公園","103","107","街区公園","さぎろく","鷺　宮６－２４","1026.49","","ブランコ、滑り台、砂場、鉄棒、健康遊具","","車いす用×、オストメイト×、男子大×、男子小×、女子×、共用１、ベビーシート×、ベビーチェア×","","","","139.629778305476","35.7255748143662","街区公園"
"武蔵台公園","16","17","街区公園","むさしだい","上鷺宮５－２６","1061.05","","ブランコ、砂場、複合遊具、鉄棒","","なし","","","","139.630221875459","35.7306579003552","街区公園"
"とちの木公園","156","162","街区公園","とちのき","上鷺宮２－２２","195.8","","","","なし","","","","139.631522255664","35.7312954672398","街区公園"
"若葉公園","57","59","街区公園","わかば","鷺　宮５－１１","860.4","","ブランコ、滑り台、砂場、ｼﾞｬﾝｸﾞﾙｼﾞﾑ","","車いす用○、オストメイト○、男子大×、男子小×、女子×、共用×、ベビーシート○、ベビーチェア○","","","","139.631715582987","35.7252307356848","街区公園"
"上鷺宮緑地","170","201","その他","かみさぎのみやりょくち","上鷺宮３－８","142.18","","","","なし","","","","139.631949589589","35.7323456967863","その他"
"上鷺東公園","28","29","街区公園","かみさぎひがし","上鷺宮２－１８","2291.87","じゃぶじゃぶ池","ブランコ、滑り台、砂場、鉄棒、健康遊具","","車いす用○、オストメイト○、男子大１、男子小１、女子１、共用×、ベビーシート○、ベビーチェア○","","","","139.634688883705","35.7297799450165","街区公園"
"白鷺ふれあい公園","154","160","街区公園","しらさぎふれあい","白　鷺２－１０","1329.21","","滑り台、鉄棒、健康遊具、ｸﾗｲﾐﾝﾝｸﾞ遊具","","なし","","","","139.635130590541","35.7179797308059","街区公園"
"そろの木公園","73","76","街区公園","そろのき","白　鷺２－３８","916.29","","ブランコ、砂場、鉄棒","","車いす用×、オストメイト×、男子大×、男子小×、女子×、共用１、ベビーシート×、ベビーチェア×","","","","139.635540277911","35.7206702203334","街区公園"
"白鷺公園","127","131","街区公園","しらさぎ","白　鷺２－８","377.8","","健康遊具","","なし","","","","139.635868157579","35.7185012007597","街区公園"
"鷺宮運動広場","125","129","街区公園","さぎのみやうんどうひろば","白　鷺３－１","4920.36","運動広場","ブランコ、砂場、複合遊具","運動広場（閉鎖時間の詳細は指定管理者へ）","車いす用○、オストメイト○、男子大１、男子小２、女子２、共用×、ベビーシート×、ベビーチェア○","","","指定管理者　03-3337-1771（9:00～21:00）","139.635650335419","35.7222449235107","街区公園"
"白鷺ネムノキ公園","146","152","街区公園","しらさぎねむのき","白　鷺１－７","700.7","","","","車いす用○、オストメイト×、男子大×、男子小１、女子×、共用１、ベビーシート×、ベビーチェア×","","","","139.637895596","35.7174877360508","街区公園"
"みよし公園","66","69","街区公園","みよし","鷺　宮３－１９","200.06","","ブランコ、砂場","","なし","","","","139.638553140121","35.7233738960751","街区公園"
"みたけ公園","72","75","街区公園","みたけ","鷺　宮３－３１","244.38","","","","車いす用×、オストメイト×、男子大×、男子小×、女子×、共用１、ベビーシート×、ベビーチェア×","","","","139.639065891225","35.7239626209076","街区公園"
"双鷺公園","118","122","街区公園","そうろ","若　宮３－５８","500","","","","なし","","","","139.640289189424","35.7217689155104","街区公園"
"白鷺せせらぎ公園","161","167","近隣公園","しらさぎせせらぎ","白　鷺１－４","9070","多目的運動場、喫煙所","複合遊具、健康遊具","多目的運動場","（南側）車いす用○、オストメイト×、男子大×、男子小２、女子×、共用×、ベビーシート×、ベビーチェア×","（北側トイレ）車いす用○、オストメイト○、男子大×、男子小１、女子×、共用×、ベビーシート○、ベビーチェア○","犬の同行入園可（園路）","多目的運動場（9:00～17:00（6月～8月は19:00まで）、水土の13:00～は個人利用のみ（予約不要））","139.639723713775","35.7171704682134","近隣公園"
